Dataset,Kernel,C,Gamma,Degree,Accuracy%,TrainTime(ms),TestTime(ms)
FashionMNIST,poly,0.1,0.01,2.0,87.75,7130.4,2416.2
FashionMNIST,poly,1.0,scale,3.0,87.45,6375.9,2277.7
FashionMNIST,poly,1.0,auto,3.0,87.45,6008.7,2655.2
FashionMNIST,poly,1.0,scale,2.0,87.05,5803.3,2571.1
FashionMNIST,poly,1.0,auto,2.0,87.05,6184.1,2496.5
FashionMNIST,poly,0.1,0.01,3.0,86.85,8477.9,2538.7
FashionMNIST,poly,0.1,0.1,3.0,86.60,9178.7,2581.5
FashionMNIST,poly,1.0,0.1,3.0,86.60,9248.2,2450.4
FashionMNIST,poly,1.0,0.01,3.0,86.55,8448.6,2822.1
FashionMNIST,poly,1.0,0.01,2.0,86.50,6587.1,2247.6
FashionMNIST,poly,0.1,0.1,2.0,86.00,8399.8,2529.9
FashionMNIST,poly,1.0,0.1,2.0,86.00,8488.7,2399.2
FashionMNIST,rbf,1.0,scale,-,85.65,9097.5,6450.0
FashionMNIST,rbf,1.0,auto,-,85.65,9332.1,5303.5
FashionMNIST,poly,0.1,scale,3.0,85.25,7942.4,2938.7
FashionMNIST,poly,0.1,auto,3.0,85.25,7933.9,3137.0
FashionMNIST,poly,0.1,scale,2.0,83.30,8934.0,3404.8
FashionMNIST,poly,0.1,auto,2.0,83.30,8890.3,3188.1
FashionMNIST,rbf,0.1,scale,-,80.55,14319.1,8672.5
FashionMNIST,rbf,0.1,auto,-,80.55,14515.1,7927.7
FashionMNIST,rbf,1.0,0.01,-,73.60,44149.3,11590.3
FashionMNIST,rbf,0.1,0.01,-,49.40,44581.8,13518.5
FashionMNIST,rbf,1.0,0.1,-,14.70,53481.5,14535.0
FashionMNIST,rbf,0.1,0.1,-,10.15,52697.5,14824.0
MNIST,poly,0.1,0.1,2.0,95.00,9304.7,2266.4
MNIST,poly,1.0,0.1,2.0,95.00,9537.9,2116.6
MNIST,poly,1.0,0.01,2.0,94.90,6357.6,1790.7
MNIST,poly,0.1,0.1,3.0,94.85,14307.5,2593.7
MNIST,poly,1.0,0.1,3.0,94.85,14828.6,2524.6
MNIST,poly,0.1,0.01,3.0,94.80,10263.0,2202.7
MNIST,poly,1.0,0.01,3.0,94.80,10158.3,2282.8
MNIST,poly,0.1,0.01,2.0,94.75,7170.6,1964.7
MNIST,poly,1.0,scale,3.0,94.15,5688.3,1745.7
MNIST,poly,1.0,auto,3.0,93.90,5909.3,1821.4
MNIST,poly,1.0,scale,2.0,92.70,5866.8,1731.3
MNIST,poly,1.0,auto,2.0,92.35,6022.8,1856.2
MNIST,rbf,1.0,scale,-,92.10,11038.5,4911.4
MNIST,rbf,1.0,auto,-,91.70,10291.0,4658.6
MNIST,poly,0.1,scale,3.0,91.45,9025.8,2341.4
MNIST,poly,0.1,auto,3.0,91.00,9524.3,2684.4
MNIST,poly,0.1,scale,2.0,90.10,10682.6,3091.6
MNIST,poly,0.1,auto,2.0,89.70,11302.8,3425.1
MNIST,rbf,0.1,auto,-,85.95,18993.1,8624.8
MNIST,rbf,0.1,scale,-,85.70,20365.1,8962.9
MNIST,rbf,1.0,0.01,-,77.50,44529.3,12100.2
MNIST,rbf,0.1,0.01,-,50.65,45630.3,13364.8
MNIST,rbf,1.0,0.1,-,18.60,53958.1,16073.8
MNIST,rbf,0.1,0.1,-,11.70,52109.8,16153.0
