kernel,C,gamma,degree,coef0,train_time_ms,test_time_ms,test_accuracy_%,dataset
rbf,0.1,scale,,,20365.053176879883,8962.910175323486,85.7,MNIST
rbf,0.1,auto,,,18993.120431900024,8624.782800674438,85.95,MNIST
rbf,0.1,0.01,,,45630.33747673035,13364.848136901855,50.64999999999999,MNIST
rbf,0.1,0.1,,,52109.7936630249,16152.964115142822,11.700000000000001,MNIST
rbf,1.0,scale,,,11038.53440284729,4911.35311126709,92.10000000000001,MNIST
rbf,1.0,auto,,,10291.016578674316,4658.588409423828,91.7,MNIST
rbf,1.0,0.01,,,44529.31261062622,12100.209712982178,77.5,MNIST
rbf,1.0,0.1,,,53958.088636398315,16073.771715164185,18.6,MNIST
poly,0.1,scale,2.0,1.0,10682.586431503296,3091.583251953125,90.10000000000001,MNIST
poly,0.1,scale,3.0,1.0,9025.827407836914,2341.3867950439453,91.45,MNIST
poly,0.1,auto,2.0,1.0,11302.844762802124,3425.081729888916,89.7,MNIST
poly,0.1,auto,3.0,1.0,9524.252653121948,2684.3700408935547,91.0,MNIST
poly,0.1,0.01,2.0,1.0,7170.551538467407,1964.7150039672852,94.75,MNIST
poly,0.1,0.01,3.0,1.0,10263.011932373047,2202.7370929718018,94.8,MNIST
poly,0.1,0.1,2.0,1.0,9304.706811904907,2266.3989067077637,95.0,MNIST
poly,0.1,0.1,3.0,1.0,14307.543516159058,2593.7230587005615,94.85,MNIST
poly,1.0,scale,2.0,1.0,5866.806983947754,1731.3165664672852,92.7,MNIST
poly,1.0,scale,3.0,1.0,5688.287973403931,1745.7349300384521,94.15,MNIST
poly,1.0,auto,2.0,1.0,6022.839307785034,1856.17995262146,92.35,MNIST
poly,1.0,auto,3.0,1.0,5909.318685531616,1821.4199542999268,93.89999999999999,MNIST
poly,1.0,0.01,2.0,1.0,6357.645034790039,1790.724277496338,94.89999999999999,MNIST
poly,1.0,0.01,3.0,1.0,10158.34927558899,2282.7789783477783,94.8,MNIST
poly,1.0,0.1,2.0,1.0,9537.869930267334,2116.556406021118,95.0,MNIST
poly,1.0,0.1,3.0,1.0,14828.567504882812,2524.6100425720215,94.85,MNIST
rbf,0.1,scale,,,14319.054365158081,8672.468900680542,80.55,FashionMNIST
rbf,0.1,auto,,,14515.14220237732,7927.663087844849,80.55,FashionMNIST
rbf,0.1,0.01,,,44581.83693885803,13518.473625183105,49.4,FashionMNIST
rbf,0.1,0.1,,,52697.47185707092,14823.996543884277,10.15,FashionMNIST
rbf,1.0,scale,,,9097.523927688599,6450.047492980957,85.65,FashionMNIST
rbf,1.0,auto,,,9332.140684127808,5303.508996963501,85.65,FashionMNIST
rbf,1.0,0.01,,,44149.31058883667,11590.322732925415,73.6,FashionMNIST
rbf,1.0,0.1,,,53481.520891189575,14534.980773925781,14.7,FashionMNIST
poly,0.1,scale,2.0,1.0,8933.977127075195,3404.848337173462,83.3,FashionMNIST
poly,0.1,scale,3.0,1.0,7942.418575286865,2938.693046569824,85.25,FashionMNIST
poly,0.1,auto,2.0,1.0,8890.342950820923,3188.0743503570557,83.3,FashionMNIST
poly,0.1,auto,3.0,1.0,7933.909177780151,3136.96551322937,85.25,FashionMNIST
poly,0.1,0.01,2.0,1.0,7130.373954772949,2416.245222091675,87.75,FashionMNIST
poly,0.1,0.01,3.0,1.0,8477.924346923828,2538.679838180542,86.85000000000001,FashionMNIST
poly,0.1,0.1,2.0,1.0,8399.795770645142,2529.9158096313477,86.0,FashionMNIST
poly,0.1,0.1,3.0,1.0,9178.700685501099,2581.529140472412,86.6,FashionMNIST
poly,1.0,scale,2.0,1.0,5803.250312805176,2571.129083633423,87.05000000000001,FashionMNIST
poly,1.0,scale,3.0,1.0,6375.903606414795,2277.726650238037,87.45,FashionMNIST
poly,1.0,auto,2.0,1.0,6184.05818939209,2496.525287628174,87.05000000000001,FashionMNIST
poly,1.0,auto,3.0,1.0,6008.72278213501,2655.223846435547,87.45,FashionMNIST
poly,1.0,0.01,2.0,1.0,6587.082862854004,2247.579336166382,86.5,FashionMNIST
poly,1.0,0.01,3.0,1.0,8448.622941970825,2822.0839500427246,86.55000000000001,FashionMNIST
poly,1.0,0.1,2.0,1.0,8488.723278045654,2399.1777896881104,86.0,FashionMNIST
poly,1.0,0.1,3.0,1.0,9248.221635818481,2450.4384994506836,86.6,FashionMNIST
