Dataset,Model,Batch_Size,Optimizer,Learning_Rate,Epochs,Test_Accuracy_%,Avg_Train_Time_s
FashionMNIST,resnet18,16,SGD,0.001,2,88.19,36.07282376289368
FashionMNIST,resnet18,16,SGD,0.001,3,88.48,36.42447543144226
FashionMNIST,resnet50,16,SGD,0.001,2,85.24000000000001,84.51491689682007
FashionMNIST,resnet50,16,SGD,0.001,3,85.19,85.35887885093689
FashionMNIST,resnet18,16,SGD,0.0001,2,86.25,36.320199847221375
FashionMNIST,resnet18,16,SGD,0.0001,3,87.91,36.18462308247884
FashionMNIST,resnet50,16,SGD,0.0001,2,78.5,85.67774569988251
FashionMNIST,resnet50,16,SGD,0.0001,3,80.52,84.38214977582295
FashionMNIST,resnet18,16,Adam,0.001,2,88.05,38.8114138841629
FashionMNIST,resnet18,16,Adam,0.001,3,87.09,39.106947580973305
FashionMNIST,resnet50,16,Adam,0.001,2,76.14999999999999,92.58681237697601
FashionMNIST,resnet50,16,Adam,0.001,3,85.69,92.06311384836833
FashionMNIST,resnet18,16,Adam,0.0001,2,87.02,38.84269571304321
FashionMNIST,resnet18,16,Adam,0.0001,3,88.46000000000001,39.141565879186
FashionMNIST,resnet50,16,Adam,0.0001,2,84.44,92.10509860515594
FashionMNIST,resnet50,16,Adam,0.0001,3,84.7,93.55744004249573
FashionMNIST,resnet18,32,SGD,0.001,2,87.58,21.238524198532104
FashionMNIST,resnet18,32,SGD,0.001,3,88.84,21.013941526412964
FashionMNIST,resnet50,32,SGD,0.001,2,84.58,50.13038682937622
FashionMNIST,resnet50,32,SGD,0.001,3,85.34,49.453414837519325
FashionMNIST,resnet18,32,SGD,0.0001,2,85.19,20.799351811408997
FashionMNIST,resnet18,32,SGD,0.0001,3,86.02,21.104748090108234
FashionMNIST,resnet50,32,SGD,0.0001,2,77.42999999999999,49.77448272705078
FashionMNIST,resnet50,32,SGD,0.0001,3,79.86999999999999,47.48303532600403
FashionMNIST,resnet18,32,Adam,0.001,2,86.99,22.152740955352783
FashionMNIST,resnet18,32,Adam,0.001,3,88.68,22.463497161865234
FashionMNIST,resnet50,32,Adam,0.001,2,83.62,52.45272755622864
FashionMNIST,resnet50,32,Adam,0.001,3,87.58,51.9228146870931
FashionMNIST,resnet18,32,Adam,0.0001,2,87.2,22.537399291992188
FashionMNIST,resnet18,32,Adam,0.0001,3,88.5,22.400052706400555
FashionMNIST,resnet50,32,Adam,0.0001,2,82.23,51.618029832839966
FashionMNIST,resnet50,32,Adam,0.0001,3,83.81,52.03254667917887
